aleatorio,grado,cercania,harmonica,pagerank,intermediacion,num_ataques
1.0,1.0,0.49892399233386325,0.999138302455838,0.999138302455838,0.24989228780697975,0.0716
1.0,1.0,0.4989230643410507,0.9991379310344828,0.9991379310344828,0.24988401659454879,0.072
1.0,1.0,0.4989223211784259,0.9991375592927986,0.9991375592927986,0.24987601019599875,0.0724
1.0,1.0,0.4989217633256535,0.999137187230371,0.999137187230371,0.24986826930632014,0.0728
1.0,1.0,0.49892139126364193,0.9991368148467846,0.9991368148467846,0.24986004921198948,0.0732
1.0,1.0,0.4989208324473938,0.9991364421416234,0.9991364421416234,0.24985209473397568,0.0736
1.0,1.0,0.49892045974265015,0.9991360691144708,0.9991360691144708,0.2498444065702056,0.074
1.0,1.0,0.4989202736328168,0.9991356957649092,0.9991356957649092,0.2498369854204244,0.0744
1.0,1.0,0.49892027460255484,0.9991353220925205,0.9991353220925205,0.24982908399493162,0.0748
1.0,1.0,0.4989193401798829,0.9991349480968859,0.9991349480968859,0.2498240699288344,0.0752
1.0,1.0,0.4989193411521408,0.9991345737775854,0.9991345737775854,0.24981633107985338,0.0756
1.0,1.0,0.4989184051115623,0.9991341991341991,0.9991341991341991,0.24980886011635253,0.076
1.0,1.0,0.49891840608634885,0.9991338241663058,0.9991338241663058,0.24980165774345434,0.0764
1.0,1.0,0.49891859527817906,0.9991334488734835,0.9991334488734835,0.24979472466812255,0.0768
1.0,1.0,0.4989174694009822,0.99913307325531,0.99913307325531,0.24956287117415943,0.0772
1.0,1.0,0.4989165301119592,0.9991326973113617,0.9991326973113617,0.24955553088895704,0.0776
